




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	Arabidopsis thaliana (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Arabidopsis thaliana - REFLIST (27475)	upload_1 (18547)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
purine-containing compound biosynthetic process (GO:0072522)	131	110	88.43	+	1.24	3.14E-05	3.09E-04
detoxification (GO:0098754)	162	136	109.36	+	1.24	2.87E-06	3.38E-05
macromolecule methylation (GO:0043414)	81	68	54.68	+	1.24	1.20E-03	8.13E-03
cytoskeleton-dependent cytokinesis (GO:0061640)	56	47	37.80	+	1.24	9.40E-03	4.63E-02
meristem structural organization (GO:0009933)	56	47	37.80	+	1.24	9.40E-03	4.63E-02
protein complex oligomerization (GO:0051259)	56	47	37.80	+	1.24	9.40E-03	4.62E-02
abscisic acid-activated signaling pathway (GO:0009738)	112	94	75.61	+	1.24	1.07E-04	9.30E-04
pyridine nucleotide catabolic process (GO:0019364)	56	47	37.80	+	1.24	9.40E-03	4.62E-02
nucleotide catabolic process (GO:0009166)	62	52	41.85	+	1.24	6.08E-03	3.24E-02
anatomical structure arrangement (GO:0048532)	68	57	45.90	+	1.24	3.95E-03	2.27E-02
macromolecule modification (GO:0043412)	1638	1373	1105.73	+	1.24	1.93E-53	3.53E-51
protein metabolic process (GO:0019538)	2543	2131	1716.65	+	1.24	2.69E-84	9.21E-82
negative regulation of cellular process (GO:0048523)	954	799	644.00	+	1.24	8.56E-31	6.60E-29
response to water (GO:0009415)	436	365	294.32	+	1.24	1.74E-14	4.92E-13
primary metabolic process (GO:0044238)	6559	5490	4427.65	+	1.24	1.29E-246	2.36E-243
response to toxic substance (GO:0009636)	184	154	124.21	+	1.24	7.71E-07	1.01E-05
nucleus organization (GO:0006997)	61	51	41.18	+	1.24	5.97E-03	3.20E-02
nucleotide biosynthetic process (GO:0009165)	128	107	86.41	+	1.24	5.90E-05	5.50E-04
oligosaccharide metabolic process (GO:0009311)	85	71	57.38	+	1.24	1.08E-03	7.38E-03
secondary metabolite biosynthetic process (GO:0044550)	109	91	73.58	+	1.24	2.03E-04	1.68E-03
glucan metabolic process (GO:0044042)	218	182	147.16	+	1.24	1.25E-07	1.89E-06
response to alcohol (GO:0097305)	549	458	370.60	+	1.24	2.36E-17	7.77E-16
regulation of intracellular signal transduction (GO:1902531)	102	85	68.86	+	1.23	4.22E-04	3.24E-03
leaf senescence (GO:0010150)	120	100	81.01	+	1.23	1.21E-04	1.04E-03
response to abscisic acid (GO:0009737)	540	450	364.53	+	1.23	6.60E-17	2.12E-15
biological process involved in interspecies interaction between organisms (GO:0044419)	1211	1009	817.49	+	1.23	6.49E-37	6.24E-35
ribonucleotide metabolic process (GO:0009259)	161	134	108.68	+	1.23	9.25E-06	1.02E-04
positive regulation of cell communication (GO:0010647)	101	84	68.18	+	1.23	5.83E-04	4.30E-03
positive regulation of signaling (GO:0023056)	101	84	68.18	+	1.23	5.83E-04	4.30E-03
response to biotic stimulus (GO:0009607)	1200	998	810.06	+	1.23	8.21E-36	7.62E-34
response to external biotic stimulus (GO:0043207)	1197	995	808.03	+	1.23	1.54E-35	1.41E-33
response to other organism (GO:0051707)	1197	995	808.03	+	1.23	1.54E-35	1.38E-33
disaccharide metabolic process (GO:0005984)	77	64	51.98	+	1.23	3.16E-03	1.87E-02
fatty acid biosynthetic process (GO:0006633)	148	123	99.91	+	1.23	2.92E-05	2.90E-04
biogenic amine metabolic process (GO:0006576)	71	59	47.93	+	1.23	4.85E-03	2.67E-02
RNA methylation (GO:0001510)	71	59	47.93	+	1.23	4.85E-03	2.67E-02
steroid metabolic process (GO:0008202)	71	59	47.93	+	1.23	4.85E-03	2.67E-02
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	260	216	175.51	+	1.23	1.65E-08	2.79E-07
response to oxygen-containing compound (GO:1901700)	1593	1323	1075.35	+	1.23	7.13E-47	9.07E-45
homeostatic process (GO:0042592)	460	382	310.52	+	1.23	4.13E-14	1.15E-12
phenylpropanoid metabolic process (GO:0009698)	112	93	75.61	+	1.23	2.52E-04	2.02E-03
response to oomycetes (GO:0002239)	100	83	67.51	+	1.23	5.81E-04	4.30E-03
positive regulation of signal transduction (GO:0009967)	100	83	67.51	+	1.23	5.81E-04	4.29E-03
membraneless organelle assembly (GO:0140694)	135	112	91.13	+	1.23	6.51E-05	5.97E-04
regulation of small molecule metabolic process (GO:0062012)	129	107	87.08	+	1.23	9.84E-05	8.77E-04
beta-glucan metabolic process (GO:0051273)	76	63	51.30	+	1.23	3.14E-03	1.86E-02
nucleoside diphosphate metabolic process (GO:0009132)	70	58	47.25	+	1.23	4.82E-03	2.66E-02
seed germination (GO:0009845)	105	87	70.88	+	1.23	5.19E-04	3.92E-03
leaf morphogenesis (GO:0009965)	99	82	66.83	+	1.23	7.88E-04	5.61E-03
gravitropism (GO:0009630)	99	82	66.83	+	1.23	7.88E-04	5.61E-03
plant-type secondary cell wall biogenesis (GO:0009834)	64	53	43.20	+	1.23	7.40E-03	3.77E-02
response to chemical (GO:0042221)	2743	2268	1851.66	+	1.22	8.48E-79	2.58E-76
plant organ senescence (GO:0090693)	127	105	85.73	+	1.22	1.84E-04	1.54E-03
organic hydroxy compound metabolic process (GO:1901615)	300	248	202.52	+	1.22	3.97E-09	7.27E-08
response to wounding (GO:0009611)	271	224	182.94	+	1.22	2.22E-08	3.69E-07
metabolic process (GO:0008152)	7991	6604	5394.32	+	1.22	5.83E-277	1.60E-273
cellular response to stimulus (GO:0051716)	2877	2377	1942.12	+	1.22	3.21E-82	1.04E-79
beta-glucan biosynthetic process (GO:0051274)	69	57	46.58	+	1.22	6.56E-03	3.47E-02
monosaccharide metabolic process (GO:0005996)	149	123	100.58	+	1.22	4.71E-05	4.50E-04
plant epidermis development (GO:0090558)	292	241	197.11	+	1.22	7.98E-09	1.39E-07
regulation of post-embryonic development (GO:0048580)	398	328	268.67	+	1.22	2.15E-11	5.00E-10
hexose metabolic process (GO:0019318)	108	89	72.91	+	1.22	6.31E-04	4.57E-03
protein modification process (GO:0036211)	1272	1048	858.66	+	1.22	3.23E-34	2.76E-32
purine ribonucleotide metabolic process (GO:0009150)	136	112	91.81	+	1.22	1.46E-04	1.24E-03
regulation of multicellular organismal development (GO:2000026)	412	339	278.12	+	1.22	1.55E-11	3.68E-10
seed development (GO:0048316)	772	635	521.14	+	1.22	1.12E-20	4.80E-19
defense response to other organism (GO:0098542)	867	713	585.27	+	1.22	6.18E-23	2.89E-21
cellular response to oxygen-containing compound (GO:1901701)	534	439	360.48	+	1.22	1.62E-14	4.63E-13
lipid metabolic process (GO:0006629)	924	759	623.75	+	1.22	3.81E-24	2.01E-22
negative regulation of cell communication (GO:0010648)	123	101	83.03	+	1.22	3.31E-04	2.61E-03
negative regulation of signaling (GO:0023057)	123	101	83.03	+	1.22	3.31E-04	2.61E-03
transcription by RNA polymerase II (GO:0006366)	95	78	64.13	+	1.22	1.97E-03	1.25E-02
chemical homeostasis (GO:0048878)	407	334	274.75	+	1.22	3.71E-11	8.43E-10
transition metal ion transport (GO:0000041)	78	64	52.65	+	1.22	5.15E-03	2.83E-02
organic acid transport (GO:0015849)	89	73	60.08	+	1.22	2.99E-03	1.78E-02
purine nucleotide biosynthetic process (GO:0006164)	89	73	60.08	+	1.22	2.99E-03	1.78E-02
monoatomic cation homeostasis (GO:0055080)	244	200	164.71	+	1.21	4.39E-07	6.03E-06
establishment of localization (GO:0051234)	2282	1870	1540.46	+	1.21	2.14E-58	4.68E-56
response to external stimulus (GO:0009605)	1410	1155	951.82	+	1.21	1.74E-35	1.53E-33
localization (GO:0051179)	2483	2031	1676.15	+	1.21	1.77E-62	4.40E-60
regulation of hormone levels (GO:0010817)	280	229	189.01	+	1.21	1.12E-07	1.69E-06
fruit development (GO:0010154)	800	654	540.04	+	1.21	7.26E-20	2.97E-18
negative regulation of multicellular organismal process (GO:0051241)	142	116	95.86	+	1.21	2.06E-04	1.70E-03
ribose phosphate biosynthetic process (GO:0046390)	98	80	66.15	+	1.21	2.33E-03	1.47E-02
response to nitrogen compound (GO:1901698)	185	151	124.88	+	1.21	1.89E-05	1.97E-04
carboxylic acid transport (GO:0046942)	87	71	58.73	+	1.21	4.02E-03	2.31E-02
secretion by cell (GO:0032940)	76	62	51.30	+	1.21	9.47E-03	4.64E-02
organelle fusion (GO:0048284)	92	75	62.10	+	1.21	3.54E-03	2.07E-02
pigment biosynthetic process (GO:0046148)	108	88	72.91	+	1.21	1.36E-03	9.09E-03
response to stimulus (GO:0050896)	6004	4889	4053.00	+	1.21	5.09E-161	4.65E-158
transport (GO:0006810)	2159	1758	1457.43	+	1.21	4.07E-51	6.76E-49
monoatomic ion homeostasis (GO:0050801)	262	213	176.86	+	1.20	7.62E-07	9.98E-06
proteasomal protein catabolic process (GO:0010498)	283	230	191.04	+	1.20	2.68E-07	3.84E-06
post-embryonic plant organ development (GO:0090696)	192	156	129.61	+	1.20	2.59E-05	2.61E-04
embryo sac development (GO:0009553)	160	130	108.01	+	1.20	1.26E-04	1.08E-03
leaf development (GO:0048366)	357	290	240.99	+	1.20	7.01E-09	1.23E-07
cellular process (GO:0009987)	12716	10329	8583.94	+	1.20	0.00E00	0.00E00
negative regulation of RNA metabolic process (GO:0051253)	232	188	156.61	+	1.20	5.61E-06	6.32E-05
cellular response to organic cyclic compound (GO:0071407)	137	111	92.48	+	1.20	4.82E-04	3.69E-03
regulation of cellular component organization (GO:0051128)	294	238	198.46	+	1.20	3.22E-07	4.49E-06
cellular response to abscisic acid stimulus (GO:0071215)	152	123	102.61	+	1.20	2.50E-04	2.01E-03
cellular response to alcohol (GO:0097306)	152	123	102.61	+	1.20	2.50E-04	2.00E-03
growth (GO:0040007)	480	388	324.02	+	1.20	6.21E-11	1.35E-09
phosphorylation (GO:0016310)	451	364	304.45	+	1.20	3.41E-10	6.99E-09
generation of precursor metabolites and energy (GO:0006091)	399	322	269.34	+	1.20	4.65E-09	8.42E-08
tissue development (GO:0009888)	689	556	465.11	+	1.20	6.14E-15	1.79E-13
response to lipid (GO:0033993)	906	731	611.60	+	1.20	2.81E-19	1.12E-17
phenylpropanoid biosynthetic process (GO:0009699)	88	71	59.40	+	1.20	8.35E-03	4.22E-02
ribonucleotide biosynthetic process (GO:0009260)	93	75	62.78	+	1.19	7.38E-03	3.76E-02
glucan biosynthetic process (GO:0009250)	124	100	83.71	+	1.19	1.43E-03	9.45E-03
response to red or far red light (GO:0009639)	222	179	149.86	+	1.19	1.42E-05	1.51E-04
lipid biosynthetic process (GO:0008610)	573	462	386.80	+	1.19	1.94E-12	4.80E-11
export from cell (GO:0140352)	165	133	111.38	+	1.19	2.23E-04	1.83E-03
trichome differentiation (GO:0010026)	87	70	58.73	+	1.19	8.35E-03	4.22E-02
pigment metabolic process (GO:0042440)	137	110	92.48	+	1.19	1.27E-03	8.56E-03
post-embryonic development (GO:0009791)	1576	1264	1063.88	+	1.19	1.04E-30	7.91E-29
ribonucleoside triphosphate metabolic process (GO:0009199)	111	89	74.93	+	1.19	4.23E-03	2.37E-02
tropism (GO:0009606)	131	105	88.43	+	1.19	1.90E-03	1.22E-02
DNA-templated transcription (GO:0006351)	277	222	186.99	+	1.19	3.04E-06	3.56E-05
cell growth (GO:0016049)	412	330	278.12	+	1.19	1.17E-08	2.01E-07
developmental maturation (GO:0021700)	221	177	149.19	+	1.19	3.59E-05	3.50E-04
cellular response to lipid (GO:0071396)	351	281	236.94	+	1.19	2.03E-07	2.93E-06
system development (GO:0048731)	2040	1632	1377.10	+	1.19	1.09E-38	1.08E-36
positive regulation of biological process (GO:0048518)	1238	990	835.71	+	1.18	2.75E-23	1.37E-21
multicellular organism development (GO:0007275)	2634	2104	1778.08	+	1.18	1.53E-49	2.32E-47
immune system process (GO:0002376)	273	218	184.29	+	1.18	6.57E-06	7.33E-05
nucleoside triphosphate metabolic process (GO:0009141)	119	95	80.33	+	1.18	3.21E-03	1.90E-02
cellular response to endogenous stimulus (GO:0071495)	570	455	384.78	+	1.18	4.40E-11	9.84E-10
plant organ development (GO:0099402)	1154	921	779.01	+	1.18	2.84E-21	1.23E-19
purine ribonucleoside triphosphate metabolic process (GO:0009205)	99	79	66.83	+	1.18	9.48E-03	4.64E-02
cellular response to hormone stimulus (GO:0032870)	569	454	384.10	+	1.18	5.64E-11	1.25E-09
hormone-mediated signaling pathway (GO:0009755)	479	382	323.35	+	1.18	2.13E-09	4.06E-08
organic hydroxy compound biosynthetic process (GO:1901617)	176	140	118.81	+	1.18	4.85E-04	3.70E-03
negative regulation of RNA biosynthetic process (GO:1902679)	215	171	145.14	+	1.18	1.00E-04	8.91E-04
negative regulation of DNA-templated transcription (GO:0045892)	215	171	145.14	+	1.18	1.00E-04	8.89E-04
intracellular signal transduction (GO:0035556)	497	395	335.50	+	1.18	2.99E-09	5.59E-08
developmental growth (GO:0048589)	413	328	278.80	+	1.18	7.60E-08	1.18E-06
regulation of flower development (GO:0009909)	170	135	114.76	+	1.18	7.14E-04	5.13E-03
catabolic process (GO:0009056)	1505	1195	1015.95	+	1.18	7.96E-26	4.74E-24
S-glycoside metabolic process (GO:0016143)	111	88	74.93	+	1.17	8.00E-03	4.05E-02
glucosinolate metabolic process (GO:0019760)	111	88	74.93	+	1.17	8.00E-03	4.05E-02
monoatomic ion transport (GO:0006811)	323	256	218.04	+	1.17	2.84E-06	3.36E-05
response to brassinosteroid (GO:0009741)	106	84	71.56	+	1.17	9.18E-03	4.55E-02
response to endogenous stimulus (GO:0009719)	1395	1104	941.69	+	1.17	6.46E-23	3.00E-21
response to hormone (GO:0009725)	1394	1103	941.02	+	1.17	8.34E-23	3.80E-21
regulation of shoot system development (GO:0048831)	182	144	122.86	+	1.17	6.08E-04	4.46E-03
photosynthesis (GO:0015979)	196	155	132.31	+	1.17	4.04E-04	3.13E-03
defense response to symbiont (GO:0140546)	281	222	189.69	+	1.17	2.18E-05	2.22E-04
polysaccharide metabolic process (GO:0005976)	447	353	301.75	+	1.17	7.70E-08	1.19E-06
monoatomic cation transport (GO:0006812)	289	228	195.09	+	1.17	2.12E-05	2.17E-04
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	227	179	153.24	+	1.17	2.00E-04	1.66E-03
defense response (GO:0006952)	1114	878	752.01	+	1.17	1.84E-17	6.17E-16
plant organ formation (GO:1905393)	118	93	79.66	+	1.17	7.72E-03	3.92E-02
reproductive structure development (GO:0048608)	1279	1008	863.39	+	1.17	6.85E-20	2.82E-18
reproductive system development (GO:0061458)	1281	1009	864.74	+	1.17	7.54E-20	3.06E-18
aerobic respiration (GO:0009060)	122	96	82.36	+	1.17	8.60E-03	4.33E-02
anatomical structure development (GO:0048856)	3082	2425	2080.50	+	1.17	8.67E-48	1.25E-45
developmental process (GO:0032502)	3187	2506	2151.38	+	1.16	4.92E-49	7.28E-47
immune response (GO:0006955)	233	183	157.29	+	1.16	2.43E-04	1.97E-03
cell development (GO:0048468)	293	230	197.79	+	1.16	3.29E-05	3.23E-04
positive regulation of cellular process (GO:0048522)	1002	786	676.40	+	1.16	7.88E-15	2.28E-13
response to fatty acid (GO:0070542)	199	156	134.33	+	1.16	7.98E-04	5.64E-03
multicellular organismal process (GO:0032501)	2919	2288	1970.47	+	1.16	1.11E-42	1.24E-40
transmembrane transport (GO:0055085)	946	741	638.60	+	1.16	9.00E-14	2.49E-12
photosynthesis, light reaction (GO:0019684)	133	104	89.78	+	1.16	9.07E-03	4.52E-02
response to ethylene (GO:0009723)	178	139	120.16	+	1.16	2.20E-03	1.39E-02
response to auxin (GO:0009733)	351	274	236.94	+	1.16	1.55E-05	1.64E-04
response to jasmonic acid (GO:0009753)	195	152	131.63	+	1.15	1.59E-03	1.04E-02
regulation of developmental process (GO:0050793)	877	683	592.02	+	1.15	7.58E-12	1.84E-10
signal transduction (GO:0007165)	1621	1262	1094.26	+	1.15	3.55E-21	1.53E-19
energy derivation by oxidation of organic compounds (GO:0015980)	171	133	115.43	+	1.15	4.01E-03	2.30E-02
developmental growth involved in morphogenesis (GO:0060560)	354	275	238.97	+	1.15	2.83E-05	2.83E-04
glycosyl compound metabolic process (GO:1901657)	152	118	102.61	+	1.15	6.98E-03	3.65E-02
regulation of multicellular organismal process (GO:0051239)	505	392	340.90	+	1.15	5.50E-07	7.33E-06
cell morphogenesis (GO:0000902)	393	305	265.29	+	1.15	1.04E-05	1.14E-04
innate immune response (GO:0045087)	183	142	123.53	+	1.15	3.28E-03	1.94E-02
cell wall organization or biogenesis (GO:0071554)	590	456	398.28	+	1.14	1.43E-07	2.14E-06
anatomical structure morphogenesis (GO:0009653)	991	765	668.97	+	1.14	1.07E-11	2.55E-10
signaling (GO:0023052)	1665	1281	1123.96	+	1.14	3.40E-18	1.21E-16
post-translational protein modification (GO:0043687)	792	609	534.64	+	1.14	4.35E-09	7.91E-08
cell communication (GO:0007154)	1694	1302	1143.53	+	1.14	3.12E-18	1.12E-16
regionalization (GO:0003002)	168	129	113.41	+	1.14	1.02E-02	5.00E-02
response to organic cyclic compound (GO:0014070)	331	254	223.44	+	1.14	2.42E-04	1.97E-03
plant-type cell wall organization or biogenesis (GO:0071669)	338	259	228.17	+	1.14	2.78E-04	2.21E-03
protein modification by small protein conjugation or removal (GO:0070647)	777	595	524.51	+	1.13	2.01E-08	3.37E-07
monoatomic ion transmembrane transport (GO:0034220)	225	172	151.89	+	1.13	4.14E-03	2.37E-02
gametophyte development (GO:0048229)	505	386	340.90	+	1.13	9.79E-06	1.07E-04
proteolysis (GO:0006508)	759	580	512.36	+	1.13	5.37E-08	8.52E-07
developmental cell growth (GO:0048588)	216	165	145.81	+	1.13	5.44E-03	2.94E-02
inorganic ion transmembrane transport (GO:0098660)	266	203	179.56	+	1.13	1.93E-03	1.23E-02
carbohydrate metabolic process (GO:0005975)	942	718	635.90	+	1.13	3.04E-09	5.65E-08
regulation of biological process (GO:0050789)	5608	4273	3785.68	+	1.13	6.56E-57	1.38E-54
pattern specification process (GO:0007389)	210	160	141.76	+	1.13	7.59E-03	3.85E-02
developmental process involved in reproduction (GO:0003006)	1541	1174	1040.25	+	1.13	1.79E-14	5.07E-13
regulation of growth (GO:0040008)	272	207	183.61	+	1.13	2.18E-03	1.38E-02
protein ubiquitination (GO:0016567)	715	544	482.66	+	1.13	3.98E-07	5.50E-06
positive regulation of metabolic process (GO:0009893)	755	574	509.66	+	1.13	2.28E-07	3.27E-06
regulation of metabolic process (GO:0019222)	3139	2386	2118.98	+	1.13	2.28E-28	1.56E-26
protein modification by small protein conjugation (GO:0032446)	747	567	504.26	+	1.12	3.77E-07	5.22E-06
biological regulation (GO:0065007)	5900	4478	3982.80	+	1.12	1.74E-56	3.53E-54
regulation of cellular process (GO:0050794)	5135	3895	3466.38	+	1.12	2.65E-47	3.53E-45
Unclassified (UNCLASSIFIED)	5909	4479	3988.87	+	1.12	3.07E-55	5.79E-53
plant-type cell wall organization (GO:0009664)	219	166	147.84	+	1.12	8.95E-03	4.49E-02
phyllome development (GO:0048827)	539	407	363.85	+	1.12	5.10E-05	4.83E-04
unidimensional cell growth (GO:0009826)	306	231	206.57	+	1.12	2.58E-03	1.60E-02
positive regulation of macromolecule metabolic process (GO:0010604)	663	499	447.56	+	1.11	1.21E-05	1.30E-04
meristem development (GO:0048507)	271	203	182.94	+	1.11	9.02E-03	4.50E-02
regulation of primary metabolic process (GO:0080090)	2587	1936	1746.35	+	1.11	1.75E-17	5.96E-16
pollen development (GO:0009555)	384	287	259.22	+	1.11	2.09E-03	1.33E-02
regulation of macromolecule metabolic process (GO:0060255)	2836	2117	1914.44	+	1.11	2.82E-18	1.02E-16
cellular developmental process (GO:0048869)	716	533	483.34	+	1.10	5.11E-05	4.83E-04
protein catabolic process (GO:0030163)	610	454	411.78	+	1.10	1.97E-04	1.64E-03
regulation of biosynthetic process (GO:0009889)	2808	2083	1895.54	+	1.10	5.77E-16	1.76E-14
macromolecule catabolic process (GO:0009057)	898	666	606.19	+	1.10	1.13E-05	1.24E-04
proteolysis involved in protein catabolic process (GO:0051603)	590	437	398.28	+	1.10	5.19E-04	3.92E-03
reproductive process (GO:0022414)	1825	1348	1231.97	+	1.09	1.15E-09	2.24E-08
regulation of macromolecule biosynthetic process (GO:0010556)	2662	1957	1796.98	+	1.09	1.61E-12	4.02E-11
cell differentiation (GO:0030154)	670	492	452.28	+	1.09	8.26E-04	5.82E-03
regulation of gene expression (GO:0010468)	2624	1923	1771.33	+	1.09	1.63E-11	3.83E-10
ubiquitin-dependent protein catabolic process (GO:0006511)	475	347	320.65	+	1.08	8.80E-03	4.42E-02
shoot system development (GO:0048367)	792	578	534.64	+	1.08	8.01E-04	5.65E-03
regulation of nucleobase-containing compound metabolic process (GO:0019219)	2292	1669	1547.21	+	1.08	9.70E-09	1.69E-07
positive regulation of biosynthetic process (GO:0009891)	624	453	421.23	+	1.08	5.65E-03	3.03E-02
positive regulation of macromolecule biosynthetic process (GO:0010557)	561	407	378.70	+	1.07	9.44E-03	4.63E-02
regulation of RNA metabolic process (GO:0051252)	2197	1581	1483.08	+	1.07	2.85E-06	3.36E-05
regulation of DNA-templated transcription (GO:0006355)	2094	1489	1413.55	+	1.05	2.45E-04	1.99E-03
regulation of RNA biosynthetic process (GO:2001141)	2096	1490	1414.90	+	1.05	2.48E-04	1.99E-03
biological_process (GO:0008150)	21566	14068	14558.13	-	.97	3.07E-55	6.00E-53
regulation of reproductive process (GO:2000241)	337	204	227.49	-	.90	7.03E-03	3.67E-02
positive regulation of transcription by RNA polymerase II (GO:0045944)	174	94	117.46	-	.80	2.35E-04	1.91E-03
pectin catabolic process (GO:0045490)	98	51	66.15	-	.77	1.60E-03	1.04E-02
regulation of catalytic activity (GO:0050790)	76	38	51.30	-	.74	1.94E-03	1.23E-02
diterpenoid biosynthetic process (GO:0016102)	55	27	37.13	-	.73	5.62E-03	3.02E-02
reactive oxygen species biosynthetic process (GO:1903409)	32	14	21.60	-	.65	7.06E-03	3.68E-02
pollen sperm cell differentiation (GO:0048235)	37	16	24.98	-	.64	2.50E-03	1.55E-02
stomatal complex morphogenesis (GO:0010103)	36	15	24.30	-	.62	1.93E-03	1.23E-02
negative regulation of molecular function (GO:0044092)	59	24	39.83	-	.60	3.35E-05	3.27E-04
cell-cell signaling involved in cell fate commitment (GO:0045168)	38	15	25.65	-	.58	4.10E-04	3.16E-03
guard cell differentiation (GO:0010052)	25	9	16.88	-	.53	1.91E-03	1.22E-02
cell-cell signaling (GO:0007267)	81	29	54.68	-	.53	6.24E-09	1.11E-07
negative regulation of catalytic activity (GO:0043086)	54	19	36.45	-	.52	1.33E-06	1.67E-05
regulation of pollen tube growth (GO:0080092)	40	14	27.00	-	.52	2.80E-05	2.80E-04
response to herbivore (GO:0080027)	24	8	16.20	-	.49	7.02E-04	5.05E-03
suspensor development (GO:0010098)	15	5	10.13	-	.49	9.69E-03	4.74E-02
regulation of asymmetric cell division (GO:0009786)	16	5	10.80	-	.46	5.07E-03	2.79E-02
regulation of cellular localization (GO:0060341)	80	23	54.00	-	.43	2.21E-12	5.45E-11
pyrimidine nucleoside catabolic process (GO:0046135)	11	3	7.43	-	.40	7.41E-03	3.77E-02
pyrimidine ribonucleoside catabolic process (GO:0046133)	11	3	7.43	-	.40	7.41E-03	3.77E-02
double fertilization forming a zygote and endosperm (GO:0009567)	87	21	58.73	-	.36	1.24E-16	3.98E-15
fertilization (GO:0009566)	92	21	62.10	-	.34	1.65E-18	6.13E-17
regulation of protein localization (GO:0032880)	73	16	49.28	-	.32	1.54E-15	4.62E-14
cytidine catabolic process (GO:0006216)	10	2	6.75	-	.30	2.83E-03	1.70E-02
cytidine deamination (GO:0009972)	10	2	6.75	-	.30	2.83E-03	1.70E-02
cytidine metabolic process (GO:0046087)	10	2	6.75	-	.30	2.83E-03	1.70E-02
regulation of double fertilization forming a zygote and endosperm (GO:0080155)	57	2	38.48	-	.05	9.37E-25	5.29E-23
regulation of fertilization (GO:0080154)	62	2	41.85	-	.05	3.93E-27	2.53E-25
cell activation (GO:0001775)	5	0	3.38	-	 < 0.01	3.62E-03	2.11E-02
negative regulation of DNA-templated transcription initiation (GO:2000143)	5	0	3.38	-	 < 0.01	3.62E-03	2.11E-02
regulation of protein localization to cell surface (GO:2000008)	51	0	34.43	-	 < 0.01	1.15E-25	6.77E-24
prevention of polyspermy (GO:0060468)	5	0	3.38	-	 < 0.01	3.62E-03	2.10E-02
negative regulation of fertilization (GO:0060467)	5	0	3.38	-	 < 0.01	3.62E-03	2.10E-02
egg activation (GO:0007343)	5	0	3.38	-	 < 0.01	3.62E-03	2.10E-02
single fertilization (GO:0007338)	5	0	3.38	-	 < 0.01	3.62E-03	2.10E-02
